abs_word_idx,timestamp_s,packet_num,frame_length,passed_valid
107193,0.013399125,1,250,1
107443,0.013430375,2,250,1
107693,0.013461625,3,250,1
107943,0.013492875,4,250,1
108193,0.013524125,5,250,1
108443,0.013555375,6,248,1
108691,0.013586375,7,250,1
108941,0.013617625,0,250,1
109191,0.013648875,1,250,1
109441,0.013680125,2,250,1
109691,0.013711375,3,250,1
109941,0.013742625,4,250,1
110191,0.013773875,5,250,1
110441,0.013805125,6,250,1
110691,0.013836375,7,250,1
110941,0.013867625,0,250,1
111191,0.013898875,1,250,1
111441,0.013930125,2,250,1
111691,0.013961375,3,250,1
111941,0.013992625,4,250,1
112191,0.014023875,5,250,1
112441,0.014055125,6,250,1
112691,0.014086375,7,250,1
112941,0.014117625,0,250,1
113191,0.014148875,1,250,1
113441,0.014180125,2,248,1
113689,0.014211125,3,250,1
113939,0.014242375,4,250,1
114189,0.014273625,5,250,1
114439,0.014304875,6,250,1
114689,0.014336125,7,250,1
114939,0.014367375,0,250,1
115189,0.014398625,1,250,1
115439,0.014429875,2,250,1
115689,0.014461125,3,250,1
115939,0.014492375,4,250,1
116189,0.014523625,5,250,1
116439,0.014554875,6,250,1
116689,0.014586125,7,250,1
116939,0.014617375,0,250,1
117189,0.014648625,1,250,1
117439,0.014679875,2,250,1
117689,0.014711125,3,250,1
117939,0.014742375,4,250,1
118189,0.014773625,5,248,1
118437,0.014804625,6,250,1
118687,0.014835875,7,250,1
118937,0.014867125,0,250,1
119187,0.014898375,1,250,1
119437,0.014929625,2,250,1
119687,0.014960875,3,250,1
119937,0.014992125,4,250,1
120187,0.015023375,5,250,1
120437,0.015054625,6,250,1
120687,0.015085875,7,250,1
120937,0.015117125,0,250,1
121187,0.015148375,1,250,1
121437,0.015179625,2,250,1
121687,0.015210875,3,250,1
121937,0.015242125,4,250,1
122187,0.015273375,5,250,1
122437,0.015304625,6,250,1
122687,0.015335875,7,250,1
122937,0.015367125,0,248,1
123185,0.015398125,1,250,1
123435,0.015429375,2,250,1
123685,0.015460625,3,250,1
123935,0.015491875,4,250,1
124185,0.015523125,5,250,1
124435,0.015554375,6,250,1
124685,0.015585625,7,250,1
124935,0.015616875,0,250,1
125185,0.015648125,1,250,1
125435,0.015679375,2,250,1
125685,0.015710625,3,250,1
125935,0.015741875,4,250,1
126185,0.015773125,5,250,1
126435,0.015804375,6,250,1
126685,0.015835625,7,250,1
126935,0.015866875,0,250,1
127185,0.015898125,1,250,1
127435,0.015929375,2,250,1
127685,0.015960625,3,248,1
127933,0.015991625,4,250,1
128183,0.016022875,5,250,1
128433,0.016054125,6,250,1
128683,0.016085375,7,250,1
128933,0.016116625,0,250,1
129183,0.016147875,1,250,1
129433,0.016179125,2,250,1
129683,0.016210375,3,250,1
129933,0.016241625,4,250,1
130183,0.016272875,5,250,1
130433,0.016304125,6,250,1
130683,0.016335375,7,250,1
130933,0.016366625,0,250,1
131183,0.016397875,1,250,1
131433,0.016429125,2,250,1
131683,0.016460375,3,250,1
131933,0.016491625,4,250,1
132183,0.016522875,5,250,1
132433,0.016554125,6,248,1
132681,0.016585125,7,250,1
132931,0.016616375,0,250,1
133181,0.016647625,1,250,1
133431,0.016678875,2,250,1
133681,0.016710125,3,250,1
133931,0.016741375,4,250,1
134181,0.016772625,5,250,1
134431,0.016803875,6,250,1
134681,0.016835125,7,250,1
134931,0.016866375,0,250,1
135181,0.016897625,1,250,1
135431,0.016928875,2,250,1
135681,0.016960125,3,250,1
135931,0.016991375,4,250,1
136181,0.017022625,5,250,1
136431,0.017053875,6,250,1
136681,0.017085125,7,250,1
136931,0.017116375,0,250,1
137181,0.017147625,1,248,1
137429,0.017178625,2,250,1
137679,0.017209875,3,250,1
137929,0.017241125,4,250,1
138179,0.017272375,5,250,1
138429,0.017303625,6,250,1
